\                                                                               
\fixlen = T
\RowsRetrieved =            200038
\For detailed descriptions of the columns, go to http://exoplanetarchive.ipac.caltech.edu/docs/documentation.html and choose the appropriate table guide.
\ 
\ feh_err1 (dex) 
\ ___ Stellar Metallicity Upper Uncertainty [dex]
\ 
| feh_err1|
|   double|
|      dex|
|     null|
     0.300 
     0.350 
     0.200 
     0.250 
     0.150 
     0.250 
     0.300 
     0.250 
     0.250 
     0.300 
     0.300 
     0.250 
     0.250 
     0.250 
     0.300 
     0.300 
     0.300 
     0.200 
     0.250 
     0.300 
     0.250 
     0.300 
     0.300 
     0.300 
     0.300 
     0.250 
     0.300 
     0.200 
     0.250 
     0.250 
     0.300 
     0.300 
     0.150 
     0.100 
     0.150 
     0.250 
     0.300 
     0.250 
     0.300 
     0.250 
     0.300 
     0.350 
     0.300 
     0.300 
     0.300 
     0.300 
     0.250 
     0.250 
     0.250 
     0.250 
     0.300 
     0.150 
     0.150 
     0.150 
     0.050 
     0.150 
     0.300 
     0.150 
     0.250 
     0.300 
     0.250 
     0.200 
     0.300 
     0.300 
     0.100 
     0.200 
     0.150 
     0.200 
     0.300 
     0.250 
     0.250 
     0.150 
     0.100 
     0.150 
     0.300 
     0.200 
     0.150 
     0.350 
     0.300 
     0.150 
     0.250 
     0.150 
     0.150 
     0.300 
     0.150 
     0.150 
     0.100 
     0.300 
     0.300 
     0.300 
     0.300 
     0.100 
     0.300 
     0.300 
     0.150 
     0.150 
     0.250 
     0.350 
     0.250 
     0.200 
     0.300 
     0.300 
     0.300 
     0.300 
     0.250 
     0.300 
     0.300 
     0.150 
     0.050 
     0.150 
     0.100 
     0.150 
     0.300 
     0.300 
     0.150 
     0.300 
     0.200 
     0.300 
     0.100 
     0.100 
     0.200 
     0.150 
     0.250 
     0.300 
     0.150 
     0.300 
     0.150 
     0.150 
     0.150 
     0.300 
     0.150 
     0.300 
     0.300 
     0.150 
     0.250 
     0.150 
     0.150 
     0.150 
     0.300 
     0.300 
     0.150 
     0.100 
     0.150 
     0.250 
     0.300 
     0.250 
     0.300 
     0.150 
     0.300 
     0.250 
     0.350 
     0.300 
     0.300 
     0.150 
     0.100 
     0.300 
     0.150 
     0.050 
     0.150 
     0.300 
     0.300 
     0.250 
     0.100 
     0.150 
     0.150 
     0.250 
     0.300 
     0.300 
     0.300 
     0.250 
     0.150 
     0.150 
     0.150 
     0.100 
     0.300 
     0.150 
     0.200 
     0.300 
     0.300 
     0.250 
     0.350 
     0.300 
     0.300 
     0.250 
     0.300 
     0.250 
     0.300 
     0.200 
     0.150 
     0.250 
     0.150 
     0.150 
     0.250 
     0.150 
     0.150 
     0.300 
     0.150 
     0.250 
     0.300 
     0.250 
     0.150 
     0.150 
     0.300 
     0.250 
     0.250 
     0.100 
