\                                                                               
\fixlen = T
\RowsRetrieved =            200038
\For detailed descriptions of the columns, go to http://exoplanetarchive.ipac.caltech.edu/docs/documentation.html and choose the appropriate table guide.
\ 
\ mesthres07p5 
\ ___ MES Threshold for a Searched Transit of 7.5 hrs of Duration
\ 
|     mesthres07p5|
|           double|
|                 |
|             null|
             7.100 
            14.393 
            20.262 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             9.837 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             9.585 
             7.100 
             8.076 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
              null 
              null 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             9.518 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
            10.157 
             8.068 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
            14.619 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             8.097 
             7.100 
             7.100 
            20.599 
             7.968 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
            10.859 
             7.156 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             9.967 
             7.100 
             7.100 
             8.550 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
            11.943 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.388 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
             7.100 
              null 
